"48"	"H"	"A"	"H"	"A"						
"49"	"I"	"A"	"I"	"A"						
"4A"	"J"	"A"	"J"	"A"						
"4B"	"K"	"A"	"K"	"A"						
"4C"	"L"	"A"	"L"	"A"						
"4D"	"M"	"A"	"M"	"A"						
"4E"	"N"	"A"	"N"	"A"						
"4F"	"O"	"A"	"O"	"A"						
"50"	"P"	"A"	"P"	"A"						
"51"	"Q"	"A"	"Q"	"A"						
"52"	"R"	"A"	"R"	"A"						
"53"	"S"	"A"	"S"	"A"						
"54"	"T"	"A"	"T"	"A"						
"55"	"U"	"A"	"U"	"A"						
"56"	"V"	"A"	"V"	"A"						
"57"	"W"	"A"	"W"	"A"						
"58"	"X"	"A"	"X"	"A"						
"59"	"Y"	"A"	"Y"	"A"						
"5A"	"Z"	"A"	"Z"	"A"						
"5B"	"["	"A"	"["	"A"						
"5C"	"<font>"	"C"	"<font>"	"C"	"Control character; shifts between Hiragana/Katakana"					
"5D"	"]"	"A"	"]"	"A"						
"5E"	"^"	"A"	"^"	"A"						
"5F"	"_"	"A"	"_"	"A"						
"60"	"`"	"A"	"`"	"A"						
"61"	"a"	"A"	"a"	"A"						
"62"	"b"	"A"	"b"	"A"						
"63"	"c"	"A"	"c"	"A"						
"64"	"d"	"A"	"d"	"A"						
"65"	"e"	"A"	"e"	"A"						
"66"	"f"	"A"	"f"	"A"						
"67"	"g"	"A"	"g"	"A"						
"68"	"h"	"A"	"h"	"A"						
"69"	"i"	"A"	"i"	"A"						
"6A"	"j"	"A"	"j"	"A"						
"6B"	"k"	"A"	"k"	"A"						
"6C"	"l"	"A"	"l"	"A"						
"6D"	"m"	"A"	"m"	"A"						
"6E"	"n"	"A"	"n"	"A"						
"6F"	"o"	"A"	"o"	"A"						
"70"	"p"	"A"	"p"	"A"						
"71"	"q"	"A"	"q"	"A"						
"72"	"r"	"A"	"r"	"A"						
"73"	"s"	"A"	"s"	"A"						
"74"	"t"	"A"	"t"	"A"						
"75"	"u"	"A"	"u"	"A"						
"76"	"v"	"A"	"v"	"A"						
"77"	"w"	"A"	"w"	"A"						
"78"	"x"	"A"	"x"	"A"						
"79"	"y"	"A"	"y"	"A"						
"7A"	"z"	"A"	"z"	"A"						
"7B"	"<gun>"	"S"	"<gun>"	"S"	"Image/Icon"					
"7C"	"<sword>"	"S"	"<sword>"	"S"	"Image/Icon"					
"7D"	"<chevron>"	"S"	"<chevron>"	"S"	"Image/Icon"					
"7E"	"<block>"	"S"	"<block>"	"S"	"Image/Icon"					
"7F"	" "	"A"	" "	"A"	"Space"					
"80"	" "	"A"	" "	"A"	"Space"					
"81"	"."	"S"	"."	"S"	"Usually placed over another character"					
"82"	"『"	"S"	"『"	"S"						
"83"	"』"	"S"	"』"	"S"						
"84"	"、"	"S"	"、"	"S"						
"85"	"・"	"S"	"・"	"S"						
"86"	"ヲ"	"K"	"ヲ"	"K"						
"87"	"ァ"	"K"	"ァ"	"K"	"Cannot identify"					
"88"	"ィ"	"K"	"ィ"	"K"						
"89"	"ゥ"	"K"	"ゥ"	"K"						
"8A"	"ェ"	"K"	"ェ"	"K"						
"8B"	"ォ"	"K"	"ォ"	"K"						
"8C"	"ャ"	"K"	"ャ"	"K"						
"8D"	"ュ"	"K"	"ュ"	"K"						
"8E"	"ョ"	"K"	"ョ"	"K"						
"8F"	"ッ"	"K"	"ッ"	"K"						
"90"	"‐"	"S"	"‐"	"S"						
"91"	"ア"	"K"	"ア"	"K"						
"92"	"イ"	"K"	"イ"	"K"						
"93"	"ウ"	"K"	"ウ"	"K"						
"94"	"エ"	"K"	"エ"	"K"						
"95"	"オ"	"K"	"オ"	"K"						
"96"	"カ"	"K"	"カ"	"K"						
"97"	"キ"	"K"	"キ"	"K"						
"98"	"ク"	"K"	"ク"	"K"						
"99"	"ケ"	"K"	"ケ"	"K"						
"9A"	"コ"	"K"	"コ"	"K"						
"9B"	"サ"	"K"	"サ"	"K"						
"9C"	"シ"	"K"	"シ"	"K"						
"9D"	"ス"	"K"	"ス"	"K"						
"9E"	"セ"	"K"	"セ"	"K"						
"9F"	"ソ"	"K"	"ソ"	"K"						
"A0"		"A"		"A"	"Space"					
"A1"	"。"	"S"	"。"	"S"	"Japanese full-stop/period."					
"A2"	"『"	"S"	"『"	"S"						
"A3"	"』"	"S"	"』"	"S"						
"A4"	"、"	"S"	"、"	"S"						
"A5"	"・"	"S"	"・"	"S"						
"A6"	"を"	"H"	"ヲ"	"K"						
"A7"	"ぁ"	"H"	"ァ"	"K"						
"A8"	"ぃ"	"H"	"ィ"	"K"						
"A9"	"ぅ"	"H"	"ゥ"	"K"						
"AA"	"ぇ"	"H"	"ェ"	"K"						
"AB"	"ぉ"	"H"	"ォ"	"K"						
"AC"	"ゃ"	"H"	"ャ"	"K"						
"AD"	"ゅ"	"H"	"ュ"	"K"						
"AE"	"ょ"	"H"	"ョ"	"K"						
"AF"	"っ"	"H"	"ッ"	"K"						
"B0"	"―"	"S"	"‐"	"S"						
"B1"	"お"	"H"	"ア"	"K"						
"B2"	"い"	"H"	"イ"	"K"						
"B3"	"う"	"H"	"ウ"	"K"						
"B3DE"		"H"	"ヴ"	"K"	"No character in pre-0x5c mode?"					
"B4"	"え"	"H"	"エ"	"K"						
"B5"	"お"	"H"	"オ"	"K"						
"B6"	"か"	"H"	"カ"	"K"						
"B6DE"	"が"	"H"	"ガ"	"K"						
"B7"	"き"	"H"	"キ"	"K"						
"B7DE"	"ぎ"	"H"	"ギ"	"K"						
"B8"	"く"	"H"	"ク"	"K"						
"B8DE"	"ぐ"	"H"	"グ"	"K"						
"B9"	"け"	"H"	"ケ"	"K"						
"B9DE"	"げ"	"H"	"ゲ"	"K"						
"BA"	"こ"	"H"	"コ"	"K"						
"BADE"	"ご"	"H"	"ゴ"	"K"						
"BB"	"さ"	"H"	"サ"	"K"						
"BBDE"	"ざ"	"H"	"ザ"	"K"						
"BC"	"し"	"H"	"シ"	"K"						
"BCDE"	"じ"	"H"	"ジ"	"K"						
"BD"	"す"	"H"	"ス"	"K"						
"BDDE"	"ず"	"H"	"ズ"	"K"						
"BE"	"せ"	"H"	"セ"	"K"						
"BEDE"	"ぜ"	"H"	"ゼ"	"K"						
"BF"	"そ"	"H"	"ソ"	"K"						
"BFDE"	"ぞ"	"H"	"ゾ"	"K"						
"C0"	"た"	"H"	"タ"	"K"						
"C0DE"	"だ"	"H"	"ダ"	"K"						
"C1"	"ち"	"H"	"チ"	"K"						
"C1DE"	"ぢ"	"H"	"ヂ"	"K"						
"C2"	"つ"	"H"	"ツ"	"K"						
"C2DE"	"づ"	"H"	"ヅ"	"K"						
"C3"	"て"	"H"	"テ"	"K"						
"C3DE"	"で"	"H"	"デ"	"K"						
"C4"	"と"	"H"	"ト"	"K"						
"C4DE"	"ど"	"H"	"ド"	"K"						
"C5"	"な"	"H"	"ナ"	"K"						
"C6"	"に"	"H"	"ニ"	"K"						
"C7"	"ぬ"	"H"	"ヌ"	"K"						
"C8"	"ね"	"H"	"ネ"	"K"						
"C9"	"の"	"H"	"ノ"	"K"						
"CA"	"は"	"H"	"ハ"	"K"						
"CADE"	"ば"	"H"	"バ"	"K"						
"CADF"	"ぱ"	"H"	"パ"	"K"						
"CB"	"ひ"	"H"	"ヒ"	"K"						
"CBDE"	"び"	"H"	"ビ"	"K"						
"CBDF"	"ぴ"	"H"	"ピ"	"K"						
"CC"	"ふ"	"H"	"フ"	"K"						
"CCDE"	"ぶ"	"H"	"ブ"	"K"						
"CCDF"	"ぷ"	"H"	"プ"	"K"						
"CD"	"へ"	"H"	"ヘ"	"K"						
"CDDE"	"べ"	"H"	"ベ"	"K"						
"CDDF"	"ぺ"	"H"	"ペ"	"K"						
"CE"	"ほ"	"H"	"ホ"	"K"						
"CEDE"	"ぼ"	"H"	"ボ"	"K"						
"CEDF"	"ぽ"	"H"	"ポ"	"K"						
"CF"	"ま"	"H"	"マ"	"K"						
"D0"	"み"	"H"	"ミ"	"K"						
"D1"	"む"	"H"	"ム"	"K"						
"D2"	"め"	"H"	"メ"	"K"						
"D3"	"も"	"H"	"モ"	"K"						
"D4"	"や"	"H"	"ヤ"	"K"						
"D5"	"ゆ"	"H"	"ユ"	"K"						
"D6"	"よ"	"H"	"ヨ"	"K"						
"D7"	"ら"	"H"	"ラ"	"K"						
"D8"	"り"	"H"	"リ"	"K"						
"D9"	"る"	"H"	"ル"	"K"						
"DA"	"れ"	"H"	"レ"	"K"						
"DB"	"ろ"	"H"	"ロ"	"K"						
"DC"	"わ"	"H"	"ワ"	"K"						
"DD"	"ん"	"H"	"ン"	"K"						
"DE"	"゛"	"S"	"゛"	"S"						
"DF"	"゜"	"S"	"゜"	"S"						
"E0"	"タ"	"K"	"た"	"H"						
"E1"	"チ"	"K"	"ち"	"H"						
"E2"	"ツ"	"K"	"つ"	"H"						
"E3"	"テ"	"K"	"て"	"H"						
"E4"	"ト"	"K"	"と"	"H"						
"E5"	"ナ"	"K"	"な"	"H"						
"E6"	"ニ"	"K"	"に"	"H"						
"E7"	"ヌ"	"K"	"ぬ"	"H"						
"E8"	"ネ"	"K"	"ね"	"H"						
"E9"	"ノ"	"K"	"の"	"H"						
"EA"	"ハ"	"K"	"は"	"H"						
"EB"	"ヒ"	"K"	"ひ"	"H"						
"EC"	"フ"	"K"	"ふ"	"H"						
"ED"	"ヘ"	"K"	"へ"	"H"						
"EE"	"ホ"	"K"	"ほ"	"H"						
"EF"	"マ"	"K"	"ま"	"H"						
"F0"	"ミ"	"K"	"み"	"H"						
"F1"	"ム"	"K"	"む"	"H"						
"F2"	"メ"	"K"	"め"	"H"						
"F3"	"モ"	"K"	"も"	"H"						
"F4"	"ヤ"	"K"	"や"	"H"						
"F5"	"ユ"	"K"	"ゆ"	"H"						
"F6"	"ヨ"	"K"	"よ"	"H"						
"F7"	"ラ"	"K"	"ら"	"H"						
"F8"	"リ"	"K"	"り"	"H"						
"F9"	"ル"	"K"	"る"	"H"						
"FA"	"レ"	"K"	"れ"	"H"						
"FB"	"ロ"	"K"	"ろ"	"H"						
"FC"	"ワ"	"K"	"わ"	"H"						
"FD"	"ン"	"K"	"ん"	"H"						
"FE"	"゛"	"S"	"゛"	"S"						
"FF"	"゜"	"S"	"゜"	"S"						
